,Crash ID,State,YYYYMM,Day of week,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Road User,Gender,Age,Speed,Driving experience,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Time of day
4263,20174030,SA,2017-08,Sunday,6:30:00,Multiple,No,No,No,Car driver,Female,40,64,15,Major Cities of Australia,Adelaide - North,Salisbury (C),Arterial Road,No,No,40_to_64,Day
4264,20172061,Vic,2017-08,Sunday,13:20:00,Multiple,No,No,No,Pedal cyclist,Male,53,30,28,Inner Regional Australia,Melbourne - South East,Cardinia (S),Local Road,No,No,40_to_64,Day
4265,20171214,NSW,2017-08,Sunday,16:35:00,Single,No,No,No,Car passenger,Female,64,0,26,Inner Regional Australia,Richmond - Tweed,Tweed,Access Road,No,No,40_to_64,Day
4266,20171214,NSW,2017-08,Sunday,16:35:00,Single,No,No,No,Car passenger,Female,46,0,14,Inner Regional Australia,Richmond - Tweed,Tweed,Access Road,No,No,40_to_64,Day
4267,20171150,NSW,2017-08,Saturday,15:50:00,Single,No,No,No,Car passenger,Female,46,0,14,Remote Australia,Murray,Wentworth,Local Road,No,No,40_to_64,Day
4268,20174059,SA,2017-08,Sunday,15:10:00,Single,No,No,No,Motorcycle rider,Male,72,114,45,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker (DC),Sub-Arterial Road,No,No,65_to_74,Day
4269,20172018,Vic,2017-08,Sunday,17:40:00,Multiple,No,No,No,Car driver,Female,50,90,12,Major Cities of Australia,Melbourne - South East,Greater Dandenong (C),National or State Highway,No,No,40_to_64,Day
4270,20171247,NSW,2017-08,Tuesday,11:50:00,Single,No,No,No,Car passenger,Female,90,0,44,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Local Road,No,No,75_or_older,Day
4271,20176009,Tas,2017-08,Tuesday,15:17:00,Multiple,No,No,No,Pedal cyclist,Female,76,30,42,Outer Regional Australia,West and North West,Central Coast (M) (Tas.),Collector Road,No,No,75_or_older,Day
4272,20171321,NSW,2017-08,Thursday,13:30:00,Multiple,No,No,No,Car driver,Female,93,104,63,Inner Regional Australia,New England and North West,Tamworth Regional,Arterial Road,No,No,75_or_older,Day
4273,20172025,Vic,2017-08,Wednesday,10:20:00,Multiple,No,No,Yes,Car driver,Male,82,122,43,Inner Regional Australia,Hume,Benalla (RC),National or State Highway,No,No,75_or_older,Day
4274,20171161,NSW,2017-08,Monday,8:55:00,Single,No,No,No,Car driver,Female,75,126,43,Outer Regional Australia,Mid North Coast,Kempsey,Arterial Road,No,No,75_or_older,Day
4275,20175066,WA,2017-08,Friday,11:34:00,Multiple,No,No,No,Car driver,Male,79,128,42,Major Cities of Australia,Perth - South West,Rockingham (C),National or State Highway,No,No,75_or_older,Day
4276,20171111,NSW,2017-08,Thursday,8:00:00,Multiple,No,No,Yes,Car driver,Male,29,171,6,Outer Regional Australia,New England and North West,Tamworth Regional,National or State Highway,No,No,26_to_39,Day
4277,20175100,WA,2017-08,Thursday,7:15:00,Multiple,No,No,No,Car passenger,Male,6,0,2,Outer Regional Australia,Western Australia - Wheat Belt,Gingin (S),Arterial Road,No,No,0_to_16,Day
4278,20171078,NSW,2017-08,Thursday,14:50:00,Single,No,No,No,Car driver,Male,25,92,6,Major Cities of Australia,Sydney - Ryde,Ryde,Arterial Road,No,No,17_to_25,Day
4279,20171213,NSW,2017-08,Wednesday,16:30:00,Multiple,No,No,No,Pedal cyclist,Male,24,30,7,Major Cities of Australia,Sydney - Outer South West,Campbelltown,Collector Road,No,No,17_to_25,Day
4280,20171281,NSW,2017-08,Monday,15:20:00,Multiple,No,Yes,No,Motorcycle rider,Male,22,102,8,Major Cities of Australia,Sydney - South West,Liverpool,National or State Highway,No,No,17_to_25,Day
4281,20174028,SA,2017-08,Monday,17:00:00,Multiple,No,No,No,Car driver,Male,18,76,2,Major Cities of Australia,Adelaide - North,Salisbury (C),National or State Highway,No,No,17_to_25,Day
4282,20171067,NSW,2017-08,Tuesday,11:00:00,Single,No,No,No,Car driver,Male,19,93,3,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road,No,No,17_to_25,Day
4283,20172201,Vic,2017-08,Thursday,15:05:00,Single,No,No,No,Car driver,Male,35,84,12,Inner Regional Australia,Hume,Indigo (S),Sub-Arterial Road,No,No,26_to_39,Day
4284,20174057,SA,2017-08,Wednesday,14:50:00,Multiple,No,No,No,Motorcycle rider,Male,29,101,6,Major Cities of Australia,Adelaide - North,Salisbury (C),Collector Road,No,No,26_to_39,Day
4285,20175100,WA,2017-08,Thursday,7:15:00,Multiple,No,No,No,Car driver,Female,38,53,12,Outer Regional Australia,Western Australia - Wheat Belt,Gingin (S),Arterial Road,No,No,26_to_39,Day
4286,20171034,NSW,2017-08,Tuesday,8:50:00,Multiple,No,No,No,Car driver,Female,43,92,13,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Arterial Road,No,No,40_to_64,Day
4287,20171134,NSW,2017-08,Wednesday,13:50:00,Single,No,No,Yes,Car driver,Male,48,112,14,Outer Regional Australia,Riverina,Narrandera,National or State Highway,No,No,40_to_64,Day
4288,20175138,WA,2017-08,Tuesday,7:10:00,Multiple,No,Yes,No,Car driver,Male,54,136,27,Major Cities of Australia,Perth - South East,Canning (C),Local Road,No,No,40_to_64,Day
4289,20172193,Vic,2017-08,Friday,6:25:00,Single,No,No,No,Car driver,Male,52,103,28,Outer Regional Australia,Shepparton,Moira (S),Sub-Arterial Road,No,No,40_to_64,Day
4290,20171047,NSW,2017-08,Monday,9:15:00,Multiple,No,No,No,Motorcycle rider,Male,60,98,26,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,No,No,40_to_64,Day
4291,20171252,NSW,2017-08,Friday,14:43:00,Multiple,No,Yes,No,Car driver,Male,47,138,13,Outer Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,40_to_64,Day
4292,20171252,NSW,2017-08,Friday,14:43:00,Multiple,No,Yes,No,Car driver,Female,60,131,27,Outer Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,40_to_64,Day
4293,20171216,NSW,2017-08,Wednesday,17:45:00,Multiple,No,No,No,Car driver,Female,40,111,11,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,No,No,40_to_64,Day
4294,20175141,WA,2017-08,Thursday,16:08:00,Single,No,No,No,Motorcycle rider,Male,43,91,14,Outer Regional Australia,Western Australia - Wheat Belt,Albany (C),Local Road,No,No,40_to_64,Day
4295,20175094,WA,2017-08,Thursday,16:40:00,Multiple,Yes,No,No,Pedal cyclist,Male,57,30,26,Major Cities of Australia,Perth - South West,Melville (C),Arterial Road,No,No,40_to_64,Day
4296,20172171,Vic,2017-08,Friday,15:50:00,Multiple,No,No,No,Motorcycle rider,Male,43,116,13,Major Cities of Australia,Melbourne - West,Maribyrnong (C),Arterial Road,No,No,40_to_64,Day
4297,20174040,SA,2017-08,Friday,15:30:00,Multiple,No,No,No,Pedal cyclist,Male,51,30,30,Major Cities of Australia,Adelaide - North,Playford (C),Sub-Arterial Road,No,No,40_to_64,Day
4298,20175041,WA,2017-08,Wednesday,13:25:00,Multiple,No,No,No,Car driver,Male,49,60,11,Remote Australia,Western Australia - Outback (South),Carnamah (S),Arterial Road,No,No,40_to_64,Day
4299,20171181,NSW,2017-08,Thursday,11:30:00,Multiple,No,No,No,Car driver,Male,45,113,15,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No,40_to_64,Day
4300,20174085,SA,2017-08,Tuesday,10:50:00,Single,No,No,No,Motorcycle rider,Male,59,72,28,Outer Regional Australia,South Australia - South East,Wattle Range (DC),Collector Road,No,No,40_to_64,Day
4301,20175057,WA,2017-08,Wednesday,10:25:00,Single,No,No,No,Car driver,Male,41,116,14,Outer Regional Australia,Western Australia - Wheat Belt,Narrogin (S),Local Road,No,No,40_to_64,Day
4302,20172139,Vic,2017-08,Tuesday,6:01:00,Multiple,No,No,Yes,Motorcycle rider,Male,49,79,12,Major Cities of Australia,Melbourne - West,Maribyrnong (C),Arterial Road,No,No,40_to_64,Day
4303,20171012,NSW,2017-08,Tuesday,9:00:00,Multiple,No,No,Yes,Car driver,Female,49,40,11,Inner Regional Australia,Central West,Bathurst Regional,National or State Highway,No,No,40_to_64,Day
4304,20171065,NSW,2017-08,Monday,9:30:00,Single,No,No,No,Car driver,Female,55,122,28,Very Remote Australia,Far West and Orana,Unincorporated,Sub-Arterial Road,No,No,40_to_64,Day
4305,20174050,SA,2017-08,Wednesday,13:20:00,Single,No,No,No,Car driver,Male,72,98,42,Major Cities of Australia,Adelaide - North,Tea Tree Gully (C),Sub-Arterial Road,No,No,65_to_74,Day
4306,20171040,NSW,2017-08,Wednesday,16:15:00,Single,No,No,No,Car driver,Male,66,168,28,Outer Regional Australia,Capital Region,Bega Valley,Sub-Arterial Road,No,No,65_to_74,Day
4307,20171316,NSW,2017-08,Tuesday,16:00:00,Multiple,No,No,No,Car driver,Male,69,104,28,Inner Regional Australia,Mid North Coast,Mid-Coast,National or State Highway,No,No,65_to_74,Day
4308,20172123,Vic,2017-08,Wednesday,12:15:00,Multiple,No,No,Yes,Car driver,Male,71,80,44,Inner Regional Australia,Shepparton,Moira (S),Sub-Arterial Road,No,No,65_to_74,Day
4309,20172083,Vic,2017-08,Wednesday,11:20:00,Single,No,No,No,Motorcycle rider,Male,65,137,27,Inner Regional Australia,Bendigo,Mount Alexander (S),Sub-Arterial Road,No,No,65_to_74,Day
